onet_code,job_title,skills
O*NET-SOC Code,Title,"[""Element Name"", ""Example""]"
11-1011.00,Chief Executives,"[""Active Learning"", ""Active Listening"", ""AdSense Tracker"", ""Adobe Acrobat"", ""Atlassian JIRA"", ""Blackbaud The Raiser's Edge"", ""Complex Problem Solving"", ""ComputerEase construction accounting software"", ""Coordination"", ""Critical Thinking"", ""Database reporting software"", ""Databox"", ""Email software"", ""Enterprise resource planning ERP software"", ""Equipment Maintenance"", ""Equipment Selection"", ""Exact Software Macola ES Labor Performance"", ""Extensible markup language XML"", ""Fund accounting software"", ""Graphic presentation software"", ""HCSS HeavyBid"", ""HCSS HeavyJob"", ""Halogen e360"", ""Halogen ePraisal"", ""Human resource information system (HRIS)"", ""Infor SSA Human Capital Management"", ""Installation"", ""Instructing"", ""Intuit QuickBooks"", ""Judgment and Decision Making"", ""Learning Strategies"", ""Listserv software"", ""Lyris HQ Web-Analytics Solution"", ""Management of Financial Resources"", ""Management of Material Resources"", ""Management of Personnel Resources"", ""Mathematics"", ""Mentimeter"", ""Microsoft Access"", ""Microsoft Dynamics"", ""Microsoft Dynamics AX"", ""Microsoft Dynamics GP"", ""Microsoft Excel"", ""Microsoft FRx"", ""Microsoft Office software"", ""Microsoft Outlook"", ""Microsoft PowerPoint"", ""Microsoft Project"", ""Microsoft Publisher"", ""Microsoft SharePoint"", ""Microsoft Word"", ""Monitoring"", ""Nedstat Sitestat"", ""Negotiation"", ""Norchard Solutions Succession Wizard"", ""Online advertising reporting software"", ""Operation and Control"", ""Operations Analysis"", ""Operations Monitoring"", ""Oracle E-Business Suite"", ""Oracle PeopleSoft"", ""Oracle Siebel Server Sync"", ""PHP"", ""Persuasion"", ""Programming"", ""Quality Control Analysis"", ""Reading Comprehension"", ""Relational database management software"", ""Repairing"", ""SAP software"", ""Sage 50 Accounting"", ""Science"", ""Service Orientation"", ""SmugMug Flickr"", ""Social Perceptiveness"", ""Speaking"", ""Structured query language SQL"", ""Systems Analysis"", ""Systems Evaluation"", ""Technology Design"", ""Time Management"", ""Troubleshooting"", ""Web browser software"", ""Writing""]"
11-1011.03,Chief Sustainability Officers,"[""Active Learning"", ""Active Listening"", ""Adobe Acrobat"", ""Adobe Photoshop"", ""Complex Problem Solving"", ""Coordination"", ""Critical Thinking"", ""Email software"", ""Equipment Maintenance"", ""Equipment Selection"", ""Facebook"", ""Installation"", ""Instructing"", ""Judgment and Decision Making"", ""Learning Strategies"", ""Management information systems MIS"", ""Management of Financial Resources"", ""Management of Material Resources"", ""Management of Personnel Resources"", ""Mathematics"", ""Microsoft Access"", ""Microsoft Dynamics GP"", ""Microsoft Excel"", ""Microsoft Office software"", ""Microsoft Outlook"", ""Microsoft PowerPoint"", ""Microsoft Project"", ""Microsoft SharePoint"", ""Microsoft Word"", ""Monitoring"", ""Negotiation"", ""Operation and Control"", ""Operations Analysis"", ""Operations Monitoring"", ""Persuasion"", ""Programming"", ""Quality Control Analysis"", ""Reading Comprehension"", ""Repairing"", ""SAP software"", ""Salesforce software"", ""Scheduling software"", ""Science"", ""Service Orientation"", ""Social Perceptiveness"", ""Speaking"", ""Structure query language SQL"", ""Systems Analysis"", ""Systems Evaluation"", ""Tableau"", ""Technology Design"", ""Teleconferencing software"", ""Time Management"", ""Troubleshooting"", ""Web browser software"", ""Writing""]"
11-1021.00,General and Operations Managers,"[""ADP Workforce Now"", ""AMG Teleran SalesInSync"", ""Act!"", ""ActionWare"", ""Active Learning"", ""Active Listening"", ""Adobe Acrobat"", ""Adobe Creative Cloud software"", ""Adobe Photoshop"", ""Airtable"", ""Amazon Web Services AWS software"", ""Apache Hadoop"", ""Apple Final Cut Pro"", ""Apple Keynote"", ""Apple macOS"", ""Atlassian Confluence"", ""Atlassian JIRA"", ""Autodesk AutoCAD"", ""Avidian Technologies Prophet"", ""Blackbaud The Raiser's Edge"", ""Blackboard software"", ""CNC Mastercam"", ""Calendar and scheduling software"", ""Citrix cloud computing software"", ""Complex Problem Solving"", ""Computer aided manufacturing CAM software"", ""Coordination"", ""Critical Thinking"", ""Customer information control system CICS"", ""Database software"", ""Datawatch Monarch"", ""Deacom ERP"", ""Delphi Technology"", ""Dropbox"", ""Dynamic Energy Systems MedAct"", ""Eko"", ""Equipment Maintenance"", ""Equipment Selection"", ""Evernote"", ""Extensible markup language XML"", ""Facebook"", ""FileMaker Pro"", ""Flipgrid"", ""Fund accounting software"", ""Geographic information system GIS software"", ""Google Ads"", ""Google Analytics"", ""Google Docs"", ""Google Drive"", ""Google Slides"", ""GroupMe"", ""HEAT Software GoldMine"", ""HubSpot software"", ""Human resource management software HRMS"", ""Human resources software"", ""IBM Cognos Impromptu"", ""IBM Domino"", ""IBM InfoSphere DataStage"", ""IBM Notes"", ""IBM Power Systems software"", ""IBM SPSS Statistics"", ""InnQuest Software roomMaster"", ""Installation"", ""Instructing"", ""Intuit QuickBooks"", ""Inventory management software"", ""Job control language JCL"", ""Judgment and Decision Making"", ""Kronos Workforce Payroll"", ""Kronos Workforce Timekeeper"", ""LSA Visual Easy Lean"", ""Learning Strategies"", ""LexisNexis"", ""LinkedIn"", ""Management of Financial Resources"", ""Management of Material Resources"", ""Management of Personnel Resources"", ""Marketo Marketing Automation"", ""Mathematics"", ""Maximizer Software Maximizer Enterprise"", ""McAfee"", ""Medical condition coding software"", ""MicroStrategy"", ""Microsoft Access"", ""Microsoft Dynamics"", ""Microsoft Dynamics GP"", ""Microsoft Excel"", ""Microsoft Exchange"", ""Microsoft FrontPage"", ""Microsoft Internet Explorer"", ""Microsoft Office software"", ""Microsoft OneNote"", ""Microsoft Outlook"", ""Microsoft PowerPoint"", ""Microsoft Project"", ""Microsoft Publisher"", ""Microsoft SQL Server"", ""Microsoft SharePoint"", ""Microsoft Visio"", ""Microsoft Visual Basic"", ""Microsoft Visual Basic for Applications VBA"", ""Microsoft Windows"", ""Microsoft Word"", ""Minitab"", ""Monitoring"", ""Mozilla Firefox"", ""Mozilla Thunderbird"", ""Nagios"", ""Negotiation"", ""NetSuite ERP"", ""NetSuite NetCRM"", ""NortonLifeLock cybersecurity software"", ""Operation and Control"", ""Operations Analysis"", ""Operations Monitoring"", ""Oracle Business Intelligence Enterprise Edition"", ""Oracle Database"", ""Oracle E-Business Suite Financials"", ""Oracle Eloqua"", ""Oracle Fusion Applications"", ""Oracle Hyperion"", ""Oracle JD Edwards EnterpriseOne"", ""Oracle PeopleSoft"", ""Oracle PeopleSoft Financials"", ""Oracle Primavera Enterprise Project Portfolio Management"", ""Oracle Solaris"", ""Oracle Taleo"", ""Payroll software"", ""Personnel scheduling software"", ""Persuasion"", ""Point of sale POS software"", ""PostgreSQL"", ""Programming"", ""Puppet"", ""Qlik Tech QlikView"", ""Quality Control Analysis"", ""Quest Erwin Data Modeler"", ""R"", ""Reading Comprehension"", ""Realization Streamliner"", ""Repairing"", ""SAP Business Objects"", ""SAP Crystal Reports"", ""SAP software"", ""SAS"", ""Sage 50 Accounting"", ""Sage MAS 500"", ""Salesforce software"", ""Salesforce.com Salesforce CRM"", ""Savant MobileRanger"", ""Science"", ""Screencastify"", ""SeaMonkey"", ""Service Orientation"", ""Shell script"", ""Siemens NX"", ""Slack"", ""Social Perceptiveness"", ""Social media sites"", ""Software on Sailboats Desktop Sales Manager"", ""Speaking"", ""Splunk Enterprise"", ""StataCorp Stata"", ""Structured query language SQL"", ""Sugar CRM"", ""Supervisory control and data acquisition SCADA software"", ""Systems Analysis"", ""Systems Evaluation"", ""Tableau"", ""Tax software"", ""Technology Design"", ""Teradata Database"", ""The MathWorks MATLAB"", ""Time Management"", ""Troubleshooting"", ""Vanguard Software Vanguard Sales Manager"", ""Veritas NetBackup"", ""Writing"", ""Yardi software"", ""YouTube"", ""vtiger CRM""]"
11-2011.00,Advertising and Promotions Managers,"[""Active Learning"", ""Active Listening"", ""Actuate BIRT"", ""AdRelevance"", ""Adobe Acrobat"", ""Adobe Acrobat Reader"", ""Adobe After Effects"", ""Adobe Creative Cloud software"", ""Adobe Dreamweaver"", ""Adobe Experience Manager (AEM)"", ""Adobe Illustrator"", ""Adobe InDesign"", ""Adobe PageMaker"", ""Adobe Photoshop"", ""Adobe Premiere Pro"", ""Apple Final Cut Pro"", ""Apple iMovie"", ""Avid Media Composer"", ""Brainworks"", ""Business analysis software"", ""Complex Problem Solving"", ""Constant Contact"", ""Coordination"", ""Critical Thinking"", ""Customer relationship management CRM software"", ""Data visualization software"", ""Data warehousing software"", ""Database software"", ""Drupal"", ""Email software"", ""Equipment Maintenance"", ""Equipment Selection"", ""Experience in Software Webplanner"", ""Extensible markup language XML"", ""Facebook"", ""Google Ads"", ""Google Analytics"", ""Google DoubleClick"", ""Hootsuite"", ""HubSpot software"", ""Hypertext markup language HTML"", ""IBM Lotus Notes"", ""Instagram"", ""Installation"", ""Instructing"", ""Inventory tracking software"", ""JavaScript"", ""Judgment and Decision Making"", ""Learning Strategies"", ""LinkedIn"", ""MailChimp"", ""Management of Financial Resources"", ""Management of Material Resources"", ""Management of Personnel Resources"", ""MarketSharp"", ""Marketo Marketing Automation"", ""Mathematics"", ""Microsoft Access"", ""Microsoft Dynamics"", ""Microsoft Dynamics Marketing"", ""Microsoft Excel"", ""Microsoft Office software"", ""Microsoft Outlook"", ""Microsoft PowerPoint"", ""Microsoft Project"", ""Microsoft Publisher"", ""Microsoft SQL Server"", ""Microsoft SharePoint"", ""Microsoft Windows"", ""Microsoft Word"", ""Monitoring"", ""Negotiation"", ""Operation and Control"", ""Operations Analysis"", ""Operations Monitoring"", ""Oracle Eloqua"", ""PaloAlto Advertising Plan Pro"", ""Persuasion"", ""Pinterest"", ""Programming"", ""Quality Control Analysis"", ""Quark enterprise publishing software"", ""Reading Comprehension"", ""Relex Weibull"", ""Repairing"", ""SAP software"", ""Salesforce software"", ""Scheduling software"", ""Science"", ""Service Orientation"", ""Social Perceptiveness"", ""Social media software"", ""Speaking"", ""Structure query language SQL"", ""Systems Analysis"", ""Systems Evaluation"", ""Tableau"", ""Technology Design"", ""Time Management"", ""Troubleshooting"", ""Twitter"", ""Vimeo"", ""Web browser software"", ""WebTrends Analytics"", ""Webtrends software"", ""WordPress"", ""Writing"", ""YouTube""]"
11-2021.00,Marketing Managers,"[""AEC Software FastTrack Schedule"", ""Active Learning"", ""Active Listening"", ""AdSense Tracker"", ""Adobe Acrobat"", ""Adobe Acrobat Reader"", ""Adobe ActionScript"", ""Adobe After Effects"", ""Adobe Creative Cloud software"", ""Adobe Dreamweaver"", ""Adobe Illustrator"", ""Adobe InDesign"", ""Adobe Photoshop"", ""Airtable"", ""Amazon Redshift"", ""Amazon Web Services AWS software"", ""Apache Cassandra"", ""Apache Hadoop"", ""Apache Hive"", ""Apache Pig"", ""Apache Solr"", ""Apple Final Cut Pro"", ""Apple Keynote"", ""Apple macOS"", ""Armand Morin MultiTrack Generator"", ""Asana"", ""Atlassian Confluence"", ""Atlassian JIRA"", ""Blackbaud The Raiser's Edge"", ""C"", ""Canva"", ""Cascading style sheets CSS"", ""Citrix cloud computing software"", ""ClearEDGE"", ""Complex Problem Solving"", ""Constant Contact"", ""Coordination"", ""Critical Thinking"", ""Database reporting software"", ""Database software"", ""Databox"", ""Delphi Technology"", ""Dropbox"", ""Drupal"", ""Dynamic hypertext markup language DHTML"", ""Eko"", ""Elasticsearch"", ""Equipment Maintenance"", ""Equipment Selection"", ""Evernote"", ""Extensible hypertext markup language XHTML"", ""Extensible markup language XML"", ""Facebook"", ""Figma"", ""FileMaker Pro"", ""Flipgrid"", ""Fund accounting software"", ""GitHub"", ""Google Ads"", ""Google Analytics"", ""Google Docs"", ""Google Drive"", ""Google Meet"", ""Google Slides"", ""HubSpot software"", ""Hypertext markup language HTML"", ""IBM Cognos Impromptu"", ""IBM Domino"", ""IBM InfoSphere DataStage"", ""IBM Notes"", ""IBM Power Systems software"", ""IBM SPSS Statistics"", ""Instagram"", ""Installation"", ""Instructing"", ""Intuit QuickBooks"", ""JamBoard"", ""JavaScript"", ""Judgment and Decision Making"", ""Jupyter Notebook"", ""Kapwing"", ""LAMP Stack"", ""Learning Strategies"", ""LexisNexis"", ""LinkedIn"", ""LogMeIn GoToMeeting"", ""LogMeIn GoToWebinar"", ""Lyris HQ Web-Analytics Solution"", ""Management of Financial Resources"", ""Management of Material Resources"", ""Management of Personnel Resources"", ""MarketSharp"", ""Marketo Marketing Automation"", ""Mathematics"", ""McAfee"", ""Mentimeter"", ""MicroStrategy"", ""Microsoft Access"", ""Microsoft Azure software"", ""Microsoft Dynamics"", ""Microsoft Excel"", ""Microsoft Office software"", ""Microsoft Outlook"", ""Microsoft PowerPoint"", ""Microsoft Project"", ""Microsoft Publisher"", ""Microsoft SQL Server"", ""Microsoft SharePoint"", ""Microsoft Teams"", ""Microsoft Visio"", ""Microsoft Visual Basic"", ""Microsoft Visual Basic Scripting Edition VBScript"", ""Microsoft Visual Basic for Applications VBA"", ""Microsoft Word"", ""Minitab"", ""Monitoring"", ""MySQL"", ""Nearpod"", ""Nedstat Sitestat"", ""Negotiation"", ""NetSuite ERP"", ""NoSQL"", ""NortonLifeLock cybersecurity software"", ""Online advertising reporting software"", ""Operation and Control"", ""Operations Analysis"", ""Operations Monitoring"", ""Oracle Beehive"", ""Oracle Business Intelligence Enterprise Edition"", ""Oracle Database"", ""Oracle E-Business Suite Financials"", ""Oracle Eloqua"", ""Oracle Fusion Applications"", ""Oracle Hyperion"", ""Oracle JavaServer Pages JSP"", ""Oracle PL/SQL"", ""Oracle PeopleSoft"", ""Oracle PeopleSoft Financials"", ""Oracle Siebel Server Sync"", ""PHP"", ""Padlet"", ""Persuasion"", ""Programming"", ""Python"", ""QAD Marketing Automation"", ""Qlik Tech QlikView"", ""Quality Control Analysis"", ""R"", ""Reading Comprehension"", ""Repairing"", ""Ruby"", ""Ruby on Rails"", ""SAP Business Objects"", ""SAP software"", ""SAS"", ""Sage SalesLogix"", ""Salesforce software"", ""Salesforce.com Salesforce CRM"", ""Science"", ""Screencast-O-Matic"", ""Screencastify"", ""Service Orientation"", ""Slack"", ""SmugMug Flickr"", ""Social Perceptiveness"", ""Social media sites"", ""Software as a service SaaS"", ""Speaking"", ""Splunk Enterprise"", ""StataCorp Stata"", ""Structured query language SQL"", ""Swift"", ""Systems Analysis"", ""Systems Evaluation"", ""Tableau"", ""Tax software"", ""Technology Design"", ""Teradata Database"", ""The MathWorks MATLAB"", ""TikTok"", ""Time Management"", ""Troubleshooting"", ""WeVideo"", ""Web browser software"", ""WordPress"", ""Writing"", ""Yardi software"", ""YouTube""]"
11-2022.00,Sales Managers,"[""Act!"", ""Active Learning"", ""Active Listening"", ""Adobe Acrobat"", ""Adobe ActionScript"", ""Adobe Creative Cloud software"", ""Airtable"", ""Apple Keynote"", ""Avidian Technologies Prophet"", ""Bentley MicroStation"", ""Blackbaud The Raiser's Edge"", ""Complex Problem Solving"", ""Contact management software"", ""Coordination"", ""Critical Thinking"", ""Database software"", ""Delphi Discovery"", ""Delphi Technology"", ""Dropbox"", ""Eclipse IDE"", ""Eden Sales Manager"", ""Eko"", ""Equipment Maintenance"", ""Equipment Selection"", ""Facebook"", ""FileMaker Pro"", ""Geographic information system GIS software"", ""Google Ads"", ""Google Analytics"", ""Google Docs"", ""Google Drive"", ""Google Meet"", ""Google Sites"", ""Google Slides"", ""HEAT Software GoldMine"", ""HubSpot software"", ""Human resource management software HRMS"", ""Hypertext markup language HTML"", ""IBM Cognos Impromptu"", ""IBM Notes"", ""IBM Power Systems software"", ""IBM SPSS Statistics"", ""Installation"", ""Instructing"", ""Inventory software"", ""Judgment and Decision Making"", ""Learning Strategies"", ""LexisNexis"", ""LinkedIn"", ""LogMeIn GoToMeeting"", ""Management of Financial Resources"", ""Management of Material Resources"", ""Management of Personnel Resources"", ""Marketo Marketing Automation"", ""Mathematics"", ""Maximizer Software Maximizer Enterprise"", ""McAfee"", ""MicroStrategy"", ""Microsoft Access"", ""Microsoft Azure software"", ""Microsoft Dynamics"", ""Microsoft Dynamics GP"", ""Microsoft Excel"", ""Microsoft Exchange"", ""Microsoft Office software"", ""Microsoft Outlook"", ""Microsoft PowerPoint"", ""Microsoft Project"", ""Microsoft Publisher"", ""Microsoft SQL Server"", ""Microsoft SharePoint"", ""Microsoft Teams"", ""Microsoft Visio"", ""Microsoft Visual Basic"", ""Microsoft Visual Basic for Applications VBA"", ""Microsoft Windows"", ""Microsoft Word"", ""Minitab"", ""Monitoring"", ""Negotiation"", ""NetSuite ERP"", ""NetSuite NetCRM"", ""NortonLifeLock cybersecurity software"", ""Operation and Control"", ""Operations Analysis"", ""Operations Monitoring"", ""Oracle Business Intelligence Enterprise Edition"", ""Oracle Database"", ""Oracle E-Business Suite Financials"", ""Oracle Eloqua"", ""Oracle Fusion Applications"", ""Oracle Hyperion"", ""Oracle JD Edwards EnterpriseOne"", ""Oracle PeopleSoft"", ""Oracle PeopleSoft Financials"", ""Oracle Primavera Enterprise Project Portfolio Management"", ""Oracle Taleo"", ""Persuasion"", ""Poll Everywhere"", ""Programming"", ""Qlik Tech QlikView"", ""Quality Control Analysis"", ""R"", ""Reading Comprehension"", ""Repairing"", ""SAP Business Objects"", ""SAP BusinessObjects Crystal Reports"", ""SAP Crystal Reports"", ""SAP software"", ""SAS"", ""Sage 50 Accounting"", ""Salesforce software"", ""Salesforce.com Salesforce CRM"", ""Scheduling software"", ""Science"", ""Service Orientation"", ""SmugMug Flickr"", ""Social Perceptiveness"", ""Social media sites"", ""Software on Sailboats Desktop Sales Manager"", ""Speaking"", ""Splunk Enterprise"", ""Structured query language SQL"", ""Systems Analysis"", ""Systems Evaluation"", ""Tableau"", ""Tax software"", ""Technology Design"", ""Teradata Database"", ""Time Management"", ""Troubleshooting"", ""Vanguard Software Vanguard Sales Manager"", ""Web browser software"", ""Workforce management software"", ""Writing"", ""Yardi software"", ""YouTube"", ""Zoom""]"
11-2033.00,Fundraising Managers,"[""Active Learning"", ""Active Listening"", ""Adobe Acrobat"", ""Adobe After Effects"", ""Adobe Creative Cloud software"", ""Adobe Distiller"", ""Adobe Dreamweaver"", ""Adobe Illustrator"", ""Adobe InDesign"", ""Adobe PageMaker"", ""Adobe Photoshop"", ""Airtable"", ""Apple Final Cut Pro"", ""Apple iDVD"", ""Apple iMovie"", ""Blackbaud The Raiser's Edge"", ""Blackbaud eTapestry"", ""Complex Problem Solving"", ""Coordination"", ""Corel WordPerfect Office Suite"", ""Critical Thinking"", ""Drupal"", ""Equipment Maintenance"", ""Equipment Selection"", ""Facebook"", ""FileMaker Pro"", ""Flipgrid"", ""Fund accounting software"", ""Google Ads"", ""Google Analytics"", ""Google Docs"", ""Google Drive"", ""Google Gmail"", ""HubSpot software"", ""Human resource management software HRMS"", ""Hypertext markup language HTML"", ""IBM Notes"", ""Installation"", ""Instructing"", ""Judgment and Decision Making"", ""Learning Strategies"", ""LinkedIn"", ""Management of Financial Resources"", ""Management of Material Resources"", ""Management of Personnel Resources"", ""Marketo Marketing Automation"", ""Mathematics"", ""Mentimeter"", ""MicroFocus GroupWise"", ""MicroStrategy"", ""Microsoft Access"", ""Microsoft Dynamics"", ""Microsoft Excel"", ""Microsoft Office software"", ""Microsoft Outlook"", ""Microsoft PowerPoint"", ""Microsoft Project"", ""Microsoft Publisher"", ""Microsoft SharePoint"", ""Microsoft Word"", ""MightyScout"", ""Monitoring"", ""Negotiation"", ""Operation and Control"", ""Operations Analysis"", ""Operations Monitoring"", ""Oracle Eloqua"", ""Oracle PeopleSoft Financials"", ""Oracle Siebel Server Sync"", ""Persuasion"", ""Programming"", ""Quality Control Analysis"", ""QuarkXPress"", ""Reading Comprehension"", ""Repairing"", ""Salesforce software"", ""Science"", ""Service Orientation"", ""Slack"", ""SmugMug Flickr"", ""Social Perceptiveness"", ""Social media sites"", ""Speaking"", ""Systems Analysis"", ""Systems Evaluation"", ""Technology Design"", ""Teradata Database"", ""Time Management"", ""Troubleshooting"", ""WeVideo"", ""Web browser software"", ""Writing"", ""Yardi software"", ""YouTube"", ""zkipster""]"
11-3012.00,Administrative Services Managers,"[""ADP Enterprise HR"", ""ADP Workforce Now"", ""Active Learning"", ""Active Listening"", ""Adobe Acrobat"", ""Adobe PageMaker"", ""Atlassian JIRA"", ""Autodesk AutoCAD"", ""Blackbaud The Raiser's Edge"", ""Complex Problem Solving"", ""Coordination"", ""Critical Thinking"", ""Database software"", ""Delphi Technology"", ""Email software"", ""Equipment Maintenance"", ""Equipment Selection"", ""FileMaker Pro"", ""Fund accounting software"", ""Google Docs"", ""Google Drive"", ""GroupMe"", ""Human resource management software HRMS"", ""IBM Notes"", ""IBM Power Systems software"", ""IBM SPSS Statistics"", ""Installation"", ""Instructing"", ""Intuit QuickBooks"", ""Judgment and Decision Making"", ""Learning Strategies"", ""LexisNexis"", ""LinkedIn"", ""Management of Financial Resources"", ""Management of Material Resources"", ""Management of Personnel Resources"", ""Mathematics"", ""Medical procedure coding software"", ""MicroFocus GroupWise"", ""Microsoft Access"", ""Microsoft Dynamics"", ""Microsoft Dynamics GP"", ""Microsoft Excel"", ""Microsoft Internet Explorer"", ""Microsoft Office software"", ""Microsoft Outlook"", ""Microsoft PowerPoint"", ""Microsoft Project"", ""Microsoft Publisher"", ""Microsoft SharePoint"", ""Microsoft Visio"", ""Microsoft Windows XP"", ""Microsoft Word"", ""Minitab"", ""Monitoring"", ""Negotiation"", ""Operation and Control"", ""Operations Analysis"", ""Operations Monitoring"", ""Oracle Hyperion"", ""Oracle PeopleSoft"", ""Oracle PeopleSoft Financials"", ""Oracle Primavera Enterprise Project Portfolio Management"", ""Persuasion"", ""PracticeWorks Systems Kodak WINOMS CS"", ""Programming"", ""Quality Control Analysis"", ""R"", ""Reading Comprehension"", ""Repairing"", ""SAP Business Objects"", ""SAP BusinessObjects Crystal Reports"", ""SAP software"", ""SAS"", ""Sage 300 Construction and Real Estate"", ""Sage 50 Accounting"", ""Sage MAS 200 ERP"", ""Science"", ""Service Orientation"", ""Social Perceptiveness"", ""Speaking"", ""Supervisory control and data acquisition SCADA software"", ""Systems Analysis"", ""Systems Evaluation"", ""Technology Design"", ""Teradata Database"", ""Time Management"", ""Troubleshooting"", ""Web browser software"", ""Writing"", ""Yardi software""]"
11-3013.00,Facilities Managers,"[""ADP Enterprise HR"", ""ADP Workforce Now"", ""Active Learning"", ""Active Listening"", ""Adobe Acrobat"", ""Adobe PageMaker"", ""Autodesk AutoCAD"", ""Autodesk Revit"", ""Blackbaud The Raiser's Edge"", ""Complex Problem Solving"", ""Coordination"", ""Critical Thinking"", ""Delphi Technology"", ""Email software"", ""Equipment Maintenance"", ""Equipment Selection"", ""FileMaker Pro"", ""Fund accounting software"", ""Google Docs"", ""Google Drive"", ""Google Workspace software"", ""GroupMe"", ""Human resource management software HRMS"", ""IBM Maximo Asset Management"", ""IBM Notes"", ""IBM Power Systems software"", ""Installation"", ""Instructing"", ""Intuit QuickBooks"", ""Judgment and Decision Making"", ""Learning Strategies"", ""Management of Financial Resources"", ""Management of Material Resources"", ""Management of Personnel Resources"", ""Mathematics"", ""MicroFocus GroupWise"", ""Microsoft Access"", ""Microsoft Dynamics"", ""Microsoft Dynamics GP"", ""Microsoft Excel"", ""Microsoft Internet Explorer"", ""Microsoft Office software"", ""Microsoft Outlook"", ""Microsoft PowerPoint"", ""Microsoft Project"", ""Microsoft Publisher"", ""Microsoft SharePoint"", ""Microsoft Visio"", ""Microsoft Windows XP"", ""Microsoft Word"", ""Monitoring"", ""Negotiation"", ""Operation and Control"", ""Operations Analysis"", ""Operations Monitoring"", ""Oracle Hyperion"", ""Oracle PeopleSoft"", ""Oracle PeopleSoft Financials"", ""Oracle Primavera Enterprise Project Portfolio Management"", ""Persuasion"", ""Programming"", ""Project management software"", ""Quality Control Analysis"", ""Reading Comprehension"", ""Repairing"", ""SAP Business Objects"", ""SAP BusinessObjects Crystal Reports"", ""SAP software"", ""Sage 300 Construction and Real Estate"", ""Sage 50 Accounting"", ""Sage MAS 200 ERP"", ""Science"", ""Service Orientation"", ""Social Perceptiveness"", ""Speaking"", ""Supervisory control and data acquisition SCADA software"", ""Systems Analysis"", ""Systems Evaluation"", ""Technology Design"", ""Teradata Database"", ""Time Management"", ""Troubleshooting"", ""Web browser software"", ""Writing"", ""Yardi software""]"
